Region,Kommune,Institutionsnavn,Baseline,Resultat 2018,Difference,Præmie (mio. kr.),Institutionsnummer,over,under,Elevtal,ForbedretElev,Bonus,Korrigeret Baseline
Hovedstaden,Rødovre,Hendriksholm Skole,0.3768,0.40909999999999996,-0.03229999999999994,0,175001,26,18,44,-1.4211999999999974,FALSE,0.36399016481270474
Hovedstaden,Tårnby,Korsvejens Skole,0.40369999999999995,0.42219999999999996,-0.018500000000000016,0,185002,26,19,45,-0.8325000000000007,FALSE,0.3889993695429174
Midtjylland,Favrskov,Tungelundskolen,0.2924,0.36,-0.0676,0,767001,16,9,25,-1.69,FALSE,0.28259860218111915
Midtjylland,Favrskov,Ulstrup Skole,0.3407,0.5333,-0.1926,0,767002,14,16,30,-5.778,FALSE,0.3267688576144407
Midtjylland,Hedensted,Skolen i Midten,0.3326,0.3333,-6.999999999999784e-4,0,766001,56,28,84,-0.05879999999999819,FALSE,0.3275864904730043
Midtjylland,Horsens,Brædstrup Skole,0.38299999999999995,0.4595,-0.07650000000000007,0,601001,20,17,37,-2.8305000000000025,FALSE,0.3674053733822029
Midtjylland,Horsens,"Horsens Byskole, folkeskoleafdeling",0.4975,0.4865,0.01100000000000001,0,615024,19,18,37,0.40700000000000036,FALSE,0.47095086572737
Midtjylland,Horsens,Langmarkskolen,0.3682,0.3906,-0.022399999999999975,0,615007,39,25,64,-1.4335999999999984,FALSE,0.3596581915192409
Midtjylland,Randers,Nørrevangsskolen,0.5412,0.5207999999999999,0.020400000000000085,0,731014,23,25,48,0.9792000000000041,FALSE,0.5169812778898654
Midtjylland,Ringkøbing-Skjern,Tarm Skole,0.3358,0.43079999999999996,-0.09499999999999997,0,655008,37,28,65,-6.174999999999998,FALSE,0.3292224815825597
Midtjylland,Skive,Breum Skole,0.31379999999999997,0.3953,-0.08150000000000002,0,783002,26,17,43,-3.5045000000000006,FALSE,0.3059736329329673
